mls,latitude,longitude,campus_number,school,rating
56450073,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
56450073,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
56450073,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
56450073,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
56450073,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
56450073,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
56450073,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
56450073,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
56450073,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
56450073,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
56450073,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
56450073,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
56450073,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
56450073,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
56450073,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
56450073,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
56450073,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
56450073,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
56450073,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
56450073,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
56450073,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
56450073,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
56450073,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
56450073,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
56450073,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
56450073,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
56450073,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
56450073,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
56450073,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
56958575,29.84691455,-95.43201058,101912174,HIGHLAND HTS EL,D
62473493,29.84691493,-95.43195053,101912174,HIGHLAND HTS EL,D
62989815,29.83740706,-95.40704883,101912174,HIGHLAND HTS EL,D
64258469,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
64258469,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
64258469,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
64258469,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
64258469,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
64258469,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
64258469,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
64258469,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
64258469,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
64258469,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
64258469,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
64258469,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
64258469,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
64258469,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
64258469,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
64258469,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
64258469,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
64258469,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
64258469,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
64258469,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
64258469,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
64258469,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
64258469,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
64258469,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
64258469,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
64258469,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
64258469,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
64258469,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
64258469,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
64258469,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
64258469,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
64258469,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
64258469,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
64258469,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
64258469,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
64258469,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
67122861,29.83928414,-95.40569371,101912174,HIGHLAND HTS EL,D
67122861,29.83928414,-95.40569371,101912174,HIGHLAND HTS EL,D
67122861,29.83928414,-95.40569371,101912174,HIGHLAND HTS EL,D
67122861,29.83928414,-95.40569371,101912174,HIGHLAND HTS EL,D
67122861,29.83928414,-95.40569371,101912174,HIGHLAND HTS EL,D
67122861,29.83928414,-95.40569371,101912174,HIGHLAND HTS EL,D
67122861,29.83928414,-95.40569371,101912174,HIGHLAND HTS EL,D
67122861,29.83928414,-95.40569371,101912174,HIGHLAND HTS EL,D
67122861,29.83928414,-95.40569371,101912174,HIGHLAND HTS EL,D
67153161,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
67153161,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
67153161,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
67153161,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
67153161,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
67153161,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
67153161,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
67153161,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
67153161,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
67153161,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
67153161,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
67153161,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
67153161,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
67153161,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
67153161,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
67153161,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
67153161,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
67153161,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
67153161,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
67153161,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
67153161,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
67153161,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
67153161,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
