mls,school
53161631,GREGORY-LINCOLN ED CTR
14702643,GREGORY-LINCOLN ED CTR
23353569,GREGORY-LINCOLN ED CTR
32279965,GREGORY-LINCOLN ED CTR
40232809,GREGORY-LINCOLN ED CTR
43704539,GREGORY-LINCOLN ED CTR
15475660,GREGORY-LINCOLN ED CTR
90227486,GREGORY-LINCOLN ED CTR
27793277,GREGORY-LINCOLN ED CTR
90104623,GREGORY-LINCOLN ED CTR
79254782,GREGORY-LINCOLN ED CTR
44013547,GREGORY-LINCOLN ED CTR
78420188,GREGORY-LINCOLN ED CTR
36818273,GREGORY-LINCOLN ED CTR
76269817,GREGORY-LINCOLN ED CTR
13938486,GREGORY-LINCOLN ED CTR
6958708,GREGORY-LINCOLN ED CTR
54029147,GREGORY-LINCOLN ED CTR
38579332,GREGORY-LINCOLN ED CTR
52852397,GREGORY-LINCOLN ED CTR
15037028,GREGORY-LINCOLN ED CTR
8986003,GREGORY-LINCOLN ED CTR
94559738,GREGORY-LINCOLN ED CTR
55486861,GREGORY-LINCOLN ED CTR
90397393,GREGORY-LINCOLN ED CTR
25951620,GREGORY-LINCOLN ED CTR
20485385,GREGORY-LINCOLN ED CTR
12124409,GREGORY-LINCOLN ED CTR
19318354,GREGORY-LINCOLN ED CTR
13840171,GREGORY-LINCOLN ED CTR
75145611,GREGORY-LINCOLN ED CTR
49159763,GREGORY-LINCOLN ED CTR
28698329,GREGORY-LINCOLN ED CTR
30231990,GREGORY-LINCOLN ED CTR
47227743,GREGORY-LINCOLN ED CTR
78723914,GREGORY-LINCOLN ED CTR
56775365,MACGREGOR EL
60647029,MACGREGOR EL
45051937,MACGREGOR EL
36727895,MACGREGOR EL
95534058,MACGREGOR EL
55366551,MACGREGOR EL
86469819,MACGREGOR EL
63309798,MACGREGOR EL
27087722,MACGREGOR EL
57230255,MACGREGOR EL
85016338,MACGREGOR EL
97269930,MACGREGOR EL
28406857,MACGREGOR EL
72275586,MACGREGOR EL
80632383,MACGREGOR EL
70415492,MACGREGOR EL
98482281,MACGREGOR EL
11725906,MACGREGOR EL
55433772,MACGREGOR EL
35898517,MACGREGOR EL
964027,MACGREGOR EL
98000882,MACGREGOR EL
72933829,MACGREGOR EL
70697852,MACGREGOR EL
49580116,MACGREGOR EL
