mls,street_number,street_name,unit,city,zip,county,subdivision,home_type,year_built,bedrooms,full_baths,half_baths,total_baths,room_count,fireplaces,stories,pool_private,garages,style,list_price,market_area,area,dom,cdom,list_date,school_district,elementary,high_school
55775358,6139,Jason Street,,Houston,77074,Harris,Robindell Sec 03,Single-Family,1955,3,2,0,2,8,0,1,FALSE,2,Traditional,245000,20,Brays Oaks,9,9,1/28/2021,HOUSTON ISD,MCNAMARA ELEMENTARY,SHARPSTOWN HIGH SCHOOL
55783153,1011,CROCKER  Street,A,Houston,77019,Harris,PEDEN STREET GREEN,Single-Family,2021,4,3,1,3.1,14,0,3,FALSE,2,"Contemporary/Modern, Traditional",744900,16,Montrose,16,242,1/21/2021,HOUSTON ISD,WHARTON K-8 DUAL LANGUAGE ACADEMY,LAMAR HIGH SCHOOL
55807179,7424,Victoria Street,,Houston,77020,Harris,Houston Harbor,Single-Family,1948,3,2,0,2,5,0,1,FALSE,0,Traditional,239000,2,Denver Harbor,9,9,1/28/2021,HOUSTON ISD,SCROGGINS ELEMENTARY,WHEATLEY HIGH SCHOOL
55808807,5333,Fayette Street,,Houston,77056,Harris,Lamar Terrace,Single-Family,1995,3,3,1,3.1,10,1,3,FALSE,2,Traditional,614900,22,Galleria,46,46,12/22/2020,HOUSTON ISD,BRIARGROVE ELEMENTARY,WISDOM HIGH SCHOOL
55902353,1811,14th Street,,Houston,77008,Harris,Clark Pines,Single-Family,2012,5,4,0,4,14,0,2,TRUE,2,Traditional,1490000,9,Heights/Greater Heights,110,110,10/19/2020,HOUSTON ISD,LOVE ELEMENTARY,WALTRIP HIGH SCHOOL
55905475,5723,Kuldell Drive,,Houston,77096,Harris,Maplewood North Sec 02,Single-Family,1964,3,2,0,2,3,1,1,FALSE,1,"Contemporary/Modern, Ranch, Traditional",369000,20,Meyerland Area,171,171,8/19/2020,HOUSTON ISD,HEROD ELEMENTARY,BELLAIRE HIGH SCHOOL
55921081,4802,Saxon,,Bellaire,77401,Harris,Twin Oaks Sec 02,Single-Family,2006,5,3,2,3.2,13,1,2,FALSE,3,Traditional,875000,17,Bellaire Area,46,414,12/22/2020,HOUSTON ISD,CONDIT ELEMENTARY,BELLAIRE HIGH SCHOOL
55994377,4806,Terry  Street,A,Houston,77009,Harris,Terry Park Villas,Single-Family,2019,3,2,1,2.1,9,0,2,FALSE,0,Traditional,335000,9,Northside,8,361,1/29/2021,HOUSTON ISD,LOOSCAN ELEMENTARY,NORTHSIDE HIGH SCHOOL
56048676,9265,Buffalo Speedway ,,Houston,77025,Harris,Pemberton Park T H,Single-Family,2003,4,3,1,3.1,7,1,3,FALSE,2,Traditional,380000,17,Knollwood/Woodside Area,216,216,7/1/2020,HOUSTON ISD,LONGFELLOW ELEMENTARY,BELLAIRE HIGH SCHOOL
56091796,529,Westford St Street,,Houston,77022,Harris,Oakwood,Single-Family,2020,4,3,0,3,4,0,1,FALSE,0,Traditional,324900,9,Northwest Houston,135,135,9/24/2020,HOUSTON ISD,HERRERA ELEMENTARY,HOUSTON MATH SCIENCE AND TECHNOLOG
56119942,1507,Nashua  Street,A,Houston,77008,Harris,Houston Heights Annex,Single-Family,1950,2,1,0,1,3,0,1,FALSE,0,Traditional,389500,9,Heights/Greater Heights,66,66,12/2/2020,HOUSTON ISD,LOVE ELEMENTARY,WALTRIP HIGH SCHOOL
56191280,11919,Oakmont Valley Trace,,Houston,77045,Harris,Kirby Landing,Single-Family,2020,3,2,0,2,9,0,2,FALSE,2,Contemporary/Modern,300820,3,Five Corners,179,179,8/11/2020,HOUSTON ISD,REYNOLDS ELEMENTARY,WORTHING HIGH SCHOOL
56203384,10039,Briar Drive,,Houston,77042,Harris,Briargrove Park,Single-Family,1971,4,2,2,2.2,9,1,2,TRUE,2,"Colonial, Traditional",939500,22,Briargrove Park/Walnutbend,32,32,1/5/2021,HOUSTON ISD,WALNUT BEND ELEMENTARY,WESTSIDE HIGH SCHOOL
56219752,1723,Main,,Houston,77098,Harris,Lancaster Place Ext,Single-Family,2020,4,4,1,4.1,12,1,2,FALSE,2,Traditional,1495000,16,Montrose,105,105,10/24/2020,HOUSTON ISD,POE ELEMENTARY,LAMAR HIGH SCHOOL
56236816,12547,Holly Blue Lane,,Houston,77077,Harris,Ashford Manor,Single-Family,2020,4,3,1,3.1,8,0,3,FALSE,2,Traditional,350000,31,Energy Corridor,138,138,9/21/2020,HOUSTON ISD,ASHFORD ELEMENTARY,WESTSIDE HIGH SCHOOL
56247765,12054,Sugar Springs Drive,,Houston,77077,Harris,Ashford Village Sec 01,Single-Family,1975,3,2,1,2.1,6,1,1,FALSE,1,Traditional,369900,31,Energy Corridor,58,58,12/10/2020,HOUSTON ISD,ASHFORD ELEMENTARY,WESTSIDE HIGH SCHOOL
56265175,4307,Apollo Street,,Houston,77018,Harris,Garden Oaks,Single-Family,2020,4,3,1,3.1,13,1,2,FALSE,2,Other Style,1099000,9,Garden Oaks,78,78,11/20/2020,HOUSTON ISD,DURHAM ELEMENTARY,WALTRIP HIGH SCHOOL
56274291,3405,Delhi Street,,Houston,77022,Harris,Lincoln Heights,Single-Family,2020,3,2,1,2.1,7,0,2,FALSE,2,Traditional,369900,9,Northwest Houston,110,295,10/19/2020,HOUSTON ISD,BURRUS ELEMENTARY,WASHINGTON B T HIGH SCHOOL
