mls,school,campus_number
28406857,MACGREGOR EL,101912201
35898517,MACGREGOR EL,101912201
36727895,MACGREGOR EL,101912201
45051937,MACGREGOR EL,101912201
46264474,MACGREGOR EL,101912201
46916379,MACGREGOR EL,101912201
49580116,MACGREGOR EL,101912201
55366551,MACGREGOR EL,101912201
55433772,MACGREGOR EL,101912201
56775365,MACGREGOR EL,101912201
57230255,MACGREGOR EL,101912201
60647029,MACGREGOR EL,101912201
63309798,MACGREGOR EL,101912201
70415492,MACGREGOR EL,101912201
70697852,MACGREGOR EL,101912201
72275586,MACGREGOR EL,101912201
72933829,MACGREGOR EL,101912201
79077350,MACGREGOR EL,101912201
80632383,MACGREGOR EL,101912201
85016338,MACGREGOR EL,101912201
86469819,MACGREGOR EL,101912201
95534058,MACGREGOR EL,101912201
97269930,MACGREGOR EL,101912201
98000882,MACGREGOR EL,101912201
98482281,MACGREGOR EL,101912201
1029097,CONDIT EL,101912130
3643027,CONDIT EL,101912130
5286984,CONDIT EL,101912130
8912327,CONDIT EL,101912130
11098881,CONDIT EL,101912130
11134596,CONDIT EL,101912130
14944818,CONDIT EL,101912130
20680733,CONDIT EL,101912130
22469562,CONDIT EL,101912130
22551479,CONDIT EL,101912130
24188362,CONDIT EL,101912130
24301550,CONDIT EL,101912130
26058564,CONDIT EL,101912130
26673955,CONDIT EL,101912130
28526330,CONDIT EL,101912130
29190643,CONDIT EL,101912130
29269579,CONDIT EL,101912130
30220654,CONDIT EL,101912130
31970591,CONDIT EL,101912130
33524639,CONDIT EL,101912130
33794309,CONDIT EL,101912130
34835352,CONDIT EL,101912130
38581452,CONDIT EL,101912130
39308325,CONDIT EL,101912130
40531322,CONDIT EL,101912130
42386552,CONDIT EL,101912130
43828598,CONDIT EL,101912130
55921081,CONDIT EL,101912130
56593259,CONDIT EL,101912130
57402603,CONDIT EL,101912130
60280618,CONDIT EL,101912130
61048811,CONDIT EL,101912130
62052899,CONDIT EL,101912130
65057476,CONDIT EL,101912130
65633990,CONDIT EL,101912130
65978067,CONDIT EL,101912130
74170436,CONDIT EL,101912130
76671121,CONDIT EL,101912130
80393715,CONDIT EL,101912130
81266831,CONDIT EL,101912130
82454020,CONDIT EL,101912130
84947170,CONDIT EL,101912130
85848466,CONDIT EL,101912130
87746901,CONDIT EL,101912130
88466842,CONDIT EL,101912130
89141136,CONDIT EL,101912130
95578023,CONDIT EL,101912130
96501819,CONDIT EL,101912130
1039842,BURNET EL,101912124
5883857,BURNET EL,101912124
10179756,BURNET EL,101912124
10366439,BURNET EL,101912124
10366439,BURNET EL,101912124
10366439,BURNET EL,101912124
10402150,BURNET EL,101912124
12917305,BURNET EL,101912124
15106979,BURNET EL,101912124
20681303,BURNET EL,101912124
20869537,BURNET EL,101912124
22128284,BURNET EL,101912124
22785384,BURNET EL,101912124
26095848,BURNET EL,101912124
33892673,BURNET EL,101912124
37259640,BURNET EL,101912124
44015375,BURNET EL,101912124
44015375,BURNET EL,101912124
44015375,BURNET EL,101912124
47161602,BURNET EL,101912124
49490691,BURNET EL,101912124
58055107,BURNET EL,101912124
60135546,BURNET EL,101912124
60196374,BURNET EL,101912124
62505900,BURNET EL,101912124
63267551,BURNET EL,101912124
66726099,BURNET EL,101912124
69613690,BURNET EL,101912124
70194931,BURNET EL,101912124
73288155,BURNET EL,101912124
84439107,BURNET EL,101912124
84915967,BURNET EL,101912124
90027378,BURNET EL,101912124
90027378,BURNET EL,101912124
90027378,BURNET EL,101912124
90298150,BURNET EL,101912124
91619250,BURNET EL,101912124
95336597,BURNET EL,101912124
96462471,BURNET EL,101912124
1041641,ELMORE EL,101912475
6136845,ELMORE EL,101912475
11822516,ELMORE EL,101912475
13915219,ELMORE EL,101912475
14897422,ELMORE EL,101912475
22134801,ELMORE EL,101912475
27141157,ELMORE EL,101912475
44768461,ELMORE EL,101912475
56440072,ELMORE EL,101912475
61783924,ELMORE EL,101912475
66427347,ELMORE EL,101912475
68830431,ELMORE EL,101912475
73791585,ELMORE EL,101912475
87043178,ELMORE EL,101912475
93126151,ELMORE EL,101912475
95375573,ELMORE EL,101912475
2068135,ASKEW EL,101912274
6725950,ASKEW EL,101912274
22534509,ASKEW EL,101912274
24515679,ASKEW EL,101912274
26563150,ASKEW EL,101912274
32790750,ASKEW EL,101912274
32890257,ASKEW EL,101912274
44252117,ASKEW EL,101912274
47781112,ASKEW EL,101912274
50092068,ASKEW EL,101912274
50811052,ASKEW EL,101912274
70226576,ASKEW EL,101912274
70622722,ASKEW EL,101912274
72272726,ASKEW EL,101912274
75289363,ASKEW EL,101912274
83391092,ASKEW EL,101912274
86351152,ASKEW EL,101912274
2235093,SINCLAIR EL,101912241
2823691,SINCLAIR EL,101912241
3074089,SINCLAIR EL,101912241
3886379,SINCLAIR EL,101912241
4244305,SINCLAIR EL,101912241
7020523,SINCLAIR EL,101912241
9428972,SINCLAIR EL,101912241
10203907,SINCLAIR EL,101912241
10368990,SINCLAIR EL,101912241
10368990,SINCLAIR EL,101912241
10368990,SINCLAIR EL,101912241
10951418,SINCLAIR EL,101912241
12444445,SINCLAIR EL,101912241
12534544,SINCLAIR EL,101912241
13506482,SINCLAIR EL,101912241
14543905,SINCLAIR EL,101912241
16352744,SINCLAIR EL,101912241
16925172,SINCLAIR EL,101912241
17081969,SINCLAIR EL,101912241
18733840,SINCLAIR EL,101912241
19613837,SINCLAIR EL,101912241
23040025,SINCLAIR EL,101912241
23355807,SINCLAIR EL,101912241
24880804,SINCLAIR EL,101912241
27435759,SINCLAIR EL,101912241
27569870,SINCLAIR EL,101912241
29055089,SINCLAIR EL,101912241
30358827,SINCLAIR EL,101912241
31719041,SINCLAIR EL,101912241
34269220,SINCLAIR EL,101912241
34817296,SINCLAIR EL,101912241
35091012,SINCLAIR EL,101912241
36223601,SINCLAIR EL,101912241
36499208,SINCLAIR EL,101912241
38206171,SINCLAIR EL,101912241
38847509,SINCLAIR EL,101912241
39016282,SINCLAIR EL,101912241
40692146,SINCLAIR EL,101912241
40692146,SINCLAIR EL,101912241
41347357,SINCLAIR EL,101912241
41347357,SINCLAIR EL,101912241
41347357,SINCLAIR EL,101912241
41674989,SINCLAIR EL,101912241
41976029,SINCLAIR EL,101912241
43367878,SINCLAIR EL,101912241
44134956,SINCLAIR EL,101912241
44137814,SINCLAIR EL,101912241
44576550,SINCLAIR EL,101912241
44589841,SINCLAIR EL,101912241
45477497,SINCLAIR EL,101912241
46643226,SINCLAIR EL,101912241
46780756,SINCLAIR EL,101912241
48158744,SINCLAIR EL,101912241
49347253,SINCLAIR EL,101912241
51545156,SINCLAIR EL,101912241
53606427,SINCLAIR EL,101912241
56302173,SINCLAIR EL,101912241
56830368,SINCLAIR EL,101912241
57068381,SINCLAIR EL,101912241
58623677,SINCLAIR EL,101912241
58623677,SINCLAIR EL,101912241
59311117,SINCLAIR EL,101912241
59978867,SINCLAIR EL,101912241
60696810,SINCLAIR EL,101912241
61587917,SINCLAIR EL,101912241
61746431,SINCLAIR EL,101912241
63413120,SINCLAIR EL,101912241
64171287,SINCLAIR EL,101912241
64444696,SINCLAIR EL,101912241
65385857,SINCLAIR EL,101912241
65385857,SINCLAIR EL,101912241
65385857,SINCLAIR EL,101912241
68038383,SINCLAIR EL,101912241
68668434,SINCLAIR EL,101912241
71113405,SINCLAIR EL,101912241
80146621,SINCLAIR EL,101912241
82155910,SINCLAIR EL,101912241
82338290,SINCLAIR EL,101912241
82479665,SINCLAIR EL,101912241
82527595,SINCLAIR EL,101912241
83047153,SINCLAIR EL,101912241
84222820,SINCLAIR EL,101912241
84394614,SINCLAIR EL,101912241
88054350,SINCLAIR EL,101912241
89055579,SINCLAIR EL,101912241
89444572,SINCLAIR EL,101912241
89672681,SINCLAIR EL,101912241
90156782,SINCLAIR EL,101912241
91798094,SINCLAIR EL,101912241
91826858,SINCLAIR EL,101912241
93945362,SINCLAIR EL,101912241
