mls,campus_number
23549544,101912201
23586363,101912286
23586363,101912310
23604668,101912015
23604668,101912198
23606214,101912015
23606214,101912157
23612646,101912009
23612646,101912116
23622543,101912221
23622543,101912008
23623971,101912009
23623971,101912116
23626901,101912156
23626901,101912014
23681012,101912178
23681012,101912002
23797675,101912174
23797675,101912016
23811079,101912017
23811079,101912105
23935015,101912221
23935015,101912008
23950267,101912170
23950267,101912012
23990208,101912009
23990208,101912116
24064043,101912018
24064043,101912121
24087275,101912116
24087275,101912009
24104040,101912189
24104040,101912002
24120006,101912002
24120006,101912178
24166348,101912148
24166348,101912017
24185831,101912204
24185831,101912008
24188362,101912130
24188362,101912002
24212652,101912182
24212652,101912012
24238516,101912187
24238516,101912019
24273472,101912221
24273472,101912008
24289083,101912019
24289083,101912247
24301550,101912002
24301550,101912130
24313943,101912204
24313943,101912008
24353092,101912201
24353092,101912008
24509312,101912199
24509312,101912002
24515679,101912274
24515679,101912036
24527943,101912249
24527943,101912012
24609584,101912182
24609584,101912012
24750791,101912394
24750791,101912023
24755039,101912196
24755039,101912002
24757842,101912178
24757842,101912002
24795278,101912253
24795278,101912036
24831623,101912015
24831623,101912245
24873832,101912019
24873832,101912102
24880804,101912015
24880804,101912241
24899646,101912217
24899646,101912020
24927770,101912020
24927770,101912243
24941469,101912104
24941469,101912019
24941956,101912187
24941956,101912019
24966498,101914106
24966498,101914005
24973759,101912128
24973759,101912310
24989750,101912198
24989750,101912012
25031177,101912228
25031177,101912008
25092399,101912108
25092399,101912019
25116086,101912008
25116086,101912229
25120242,101912002
25120242,101912114
25221761,101912023
25221761,101912227
25267061,101912251
25267061,101912002
25308773,101912264
25308773,101912014
25325660,101912198
25325660,101912012
25356952,101912003
25356952,101912240
25368930,101912188
25368930,101912016
25432234,101912008
25432234,101912229
25541252,101912012
25541252,101912249
25561058,101912009
25561058,101912149
25639464,101912008
25639464,101912256
25642362,101912198
25642362,101912012
25707623,101912018
25707623,101912140
25752563,101912256
25752563,101912008
25761043,101912012
25761043,101912204
25897636,101912245
25897636,101912015
25898314,101912292
25898314,101912001
25917622,101912252
25917622,101912024
25929121,101912174
